Year,Country,Year
1733,ICELAND,1
1755,SWEDEN,1
1785,UNITED KINGDOM,1
1788,AUSTRALIA,1
1791,AUSTRALIA,1
1803,AUSTRALIA,1
1804,AUSTRALIA,1
1807,AUSTRALIA,1
1812,UNITED KINGDOM,1
1818,NORWAY,1
1825,AUSTRALIA,2
1831,AUSTRALIA,1
1832,AUSTRALIA,2
1836,AUSTRALIA,1
1837,AUSTRALIA,1
1839,AUSTRALIA,2
1840,AUSTRALIA,2
1841,AUSTRALIA,1
1842,AUSTRALIA,1
1845,AUSTRALIA,1
1845,UNITED KINGDOM,1
1847,AUSTRALIA,3
1848,UNITED KINGDOM,1
1849,AUSTRALIA,4
1852,AUSTRALIA,2
1852,NEW ZEALAND,1
1853,AUSTRALIA,2
1855,AUSTRALIA,4
1856,AUSTRALIA,1
1856,UNITED KINGDOM,1
1858,AUSTRALIA,1
1860,AUSTRALIA,1
1860,NEW ZEALAND,2
1861,AUSTRALIA,1
1861,NEW ZEALAND,1
1861,SINGAPORE,1
1862,AUSTRALIA,1
1862,JAPAN,1
1862,NEW ZEALAND,2
1863,AUSTRALIA,3
1864,AUSTRALIA,1
1864,NEW ZEALAND,2
1864,UNITED KINGDOM,1
1865,AUSTRALIA,1
1866,AUSTRALIA,1
1868,AUSTRALIA,2
1868,NEW ZEALAND,1
1869,AUSTRALIA,1
1870,AUSTRALIA,3
1871,AUSTRALIA,4
1872,AUSTRALIA,1
1873,AUSTRALIA,2
1874,AUSTRALIA,2
1874,CANADA,1
1875,AUSTRALIA,3
1875,NEW ZEALAND,1
1876,AUSTRALIA,4
1876,UNITED KINGDOM,1
1877,AUSTRALIA,8
1878,AUSTRALIA,2
1879,AUSTRALIA,2
1879,NEW ZEALAND,1
1880,AUSTRALIA,4
1880,NEW ZEALAND,1
1881,AUSTRALIA,1
1882,AUSTRALIA,6
1882,JAPAN,1
1882,NEW ZEALAND,3
1883,AUSTRALIA,5
1884,AUSTRALIA,2
1885,AUSTRALIA,2
1885,NEW ZEALAND,1
1886,AUSTRALIA,6
1886,NEW ZEALAND,2
1887,AUSTRALIA,2
1887,NEW ZEALAND,1
1888,AUSTRALIA,5
1888,CANADA,1
1888,NEW ZEALAND,1
1889,AUSTRALIA,2
1890,AUSTRALIA,2
1890,NEW ZEALAND,1
1891,AUSTRALIA,1
1891,CANADA,1
1891,NEW ZEALAND,1
1892,AUSTRALIA,4
1892,NEW ZEALAND,1
1893,AUSTRALIA,2
1893,NEW ZEALAND,1
1894,AUSTRALIA,1
1895,AUSTRALIA,6
1895,JAPAN,1
1895,NEW ZEALAND,2
1896,AUSTRALIA,4
1896,NEW ZEALAND,2
1897,NEW ZEALAND,1
1898,AUSTRALIA,2
1899,AUSTRALIA,2
1899,NEW ZEALAND,1
1900,AUSTRALIA,3
1901,AUSTRALIA,2
1902,AUSTRALIA,3
1902,NEW ZEALAND,1
1903,AUSTRALIA,4
1904,AUSTRALIA,1
1904,NEW ZEALAND,1
1905,AUSTRALIA,6
1906,AUSTRALIA,5
1906,NEW ZEALAND,1
1907,AUSTRALIA,5
1907,NEW ZEALAND,1
1907,UNITED KINGDOM,1
1908,AUSTRALIA,1
1909,AUSTRALIA,4
1910,AUSTRALIA,4
1910,NEW ZEALAND,1
1911,AUSTRALIA,3
1911,NEW ZEALAND,2
1912,AUSTRALIA,5
1912,NEW ZEALAND,1
1913,AUSTRALIA,4
1914,AUSTRALIA,5
1915,AUSTRALIA,6
1915,NEW ZEALAND,1
1916,AUSTRALIA,8
1917,AUSTRALIA,1
1917,IRELAND,1
1918,AUSTRALIA,3
1919,AUSTRALIA,7
1919,NEW ZEALAND,1
1920,AUSTRALIA,7
1920,CANADA,1
1920,NEW ZEALAND,1
1921,AUSTRALIA,6
1921,UNITED KINGDOM,1
1922,AUSTRALIA,9
1922,UNITED KINGDOM,1
1923,AUSTRALIA,14
1924,AUSTRALIA,6
1924,UNITED KINGDOM,1
1925,AUSTRALIA,4
1925,CANADA,1
1925,UNITED KINGDOM,1
1926,AUSTRALIA,5
1926,NEW ZEALAND,1
1926,SINGAPORE,1
1927,AUSTRALIA,11
1927,NEW ZEALAND,1
1928,AUSTRALIA,9
1929,AUSTRALIA,24
1929,NEW ZEALAND,1
1930,AUSTRALIA,10
1930,JAPAN,1
1931,AUSTRALIA,9
1932,AUSTRALIA,10
1932,CANADA,1
1932,NEW ZEALAND,1
1933,AUSTRALIA,12
1934,AUSTRALIA,16
1935,AUSTRALIA,17
1935,UNITED KINGDOM,1
1936,AUSTRALIA,21
1936,CANADA,1
1937,AUSTRALIA,18
1937,UNITED KINGDOM,3
1938,AUSTRALIA,9
1939,AUSTRALIA,9
1939,NEW ZEALAND,1
1940,AUSTRALIA,10
1941,AUSTRALIA,4
1942,AUSTRALIA,8
1943,AUSTRALIA,2
1944,AUSTRALIA,4
1945,AUSTRALIA,1
1945,HONG KONG,1
1945,JAPAN,2
1946,AUSTRALIA,11
1947,AUSTRALIA,13
1948,AUSTRALIA,6
1949,AUSTRALIA,15
1950,AUSTRALIA,13
1950,JAPAN,1
1950,SINGAPORE,1
1951,AUSTRALIA,9
1952,AUSTRALIA,5
1953,AUSTRALIA,12
1953,CANADA,1
1954,AUSTRALIA,6
1954,HONG KONG,2
1954,JAPAN,1
1954,SINGAPORE,1
1954,UNITED KINGDOM,1
1955,AUSTRALIA,9
1955,JAPAN,2
1956,AUSTRALIA,10
1956,NEW ZEALAND,1
1956,UNITED KINGDOM,2
1957,AUSTRALIA,7
1958,AUSTRALIA,5
1958,JAPAN,1
1959,AUSTRALIA,20
1959,JAPAN,3
1959,NEW ZEALAND,1
1960,AUSTRALIA,21
1960,NEW ZEALAND,2
1960,UNITED KINGDOM,1
1961,AUSTRALIA,24
1962,AUSTRALIA,20
1962,NEW ZEALAND,7
1963,AUSTRALIA,11
1963,NEW ZEALAND,2
1964,AUSTRALIA,9
1964,JAPAN,1
1964,NEW ZEALAND,6
1965,AUSTRALIA,5
1966,AUSTRALIA,17
1966,NEW ZEALAND,1
1966,SINGAPORE,1
1967,AUSTRALIA,10
1967,JAPAN,1
1967,NEW ZEALAND,2
1967,UNITED KINGDOM,1
1968,AUSTRALIA,8
1968,NEW ZEALAND,3
1968,UNITED KINGDOM,1
1969,AUSTRALIA,9
1969,UNITED KINGDOM,1
1970,AUSTRALIA,1
1970,UNITED KINGDOM,1
1971,AUSTRALIA,7
1971,HONG KONG,1
1971,NEW ZEALAND,1
1972,AUSTRALIA,10
1972,NEW ZEALAND,1
1973,AUSTRALIA,5
1973,HONG KONG,2
1974,AUSTRALIA,4
1974,HONG KONG,4
1975,AUSTRALIA,14
1975,HONG KONG,1
1976,AUSTRALIA,5
1976,HONG KONG,1
1976,NEW ZEALAND,1
1977,AUSTRALIA,9
1978,AUSTRALIA,3
1979,AUSTRALIA,1
1979,HONG KONG,2
1980,AUSTRALIA,1
1981,AUSTRALIA,4
1981,UNITED KINGDOM,1
1982,AUSTRALIA,2
1982,JAPAN,1
1983,AUSTRALIA,4
1984,AUSTRALIA,3
1985,AUSTRALIA,2
1985,NEW ZEALAND,1
1986,AUSTRALIA,5
1987,AUSTRALIA,5
1988,AUSTRALIA,7
1988,JAPAN,1
1989,AUSTRALIA,13
1989,JAPAN,1
1990,AUSTRALIA,9
1991,AUSTRALIA,7
1991,HONG KONG,3
1992,AUSTRALIA,6
1992,JAPAN,6
1992,NEW ZEALAND,1
1993,AUSTRALIA,7
1993,HONG KONG,3
1993,JAPAN,1
1994,AUSTRALIA,3
1994,HONG KONG,1
1994,JAPAN,1
1995,AUSTRALIA,8
1995,HONG KONG,3
1995,JAPAN,1
1995,NEW ZEALAND,1
1996,AUSTRALIA,12
1996,JAPAN,2
1996,NEW ZEALAND,1
1997,AUSTRALIA,10
1997,JAPAN,1
1998,AUSTRALIA,5
1998,JAPAN,1
1999,AUSTRALIA,3
1999,NEW ZEALAND,6
2000,AUSTRALIA,18
2000,CANADA,1
2000,JAPAN,1
2000,NEW ZEALAND,4
2000,UNITED KINGDOM,1
2001,AUSTRALIA,13
2001,NEW ZEALAND,1
2001,UNITED KINGDOM,1
2002,AUSTRALIA,13
2002,UNITED KINGDOM,1
2003,AUSTRALIA,10
2003,NEW ZEALAND,3
2004,AUSTRALIA,17
2004,JAPAN,1
2004,NEW ZEALAND,6
2005,AUSTRALIA,21
2005,NEW ZEALAND,2
2006,AUSTRALIA,14
2006,NEW ZEALAND,1
2007,AUSTRALIA,19
2007,NEW ZEALAND,2
2007,NORWAY,1
2007,UNITED KINGDOM,1
2008,AUSTRALIA,20
2008,NEW ZEALAND,3
2008,UNITED KINGDOM,3
2009,AUSTRALIA,28
2009,NEW ZEALAND,6
2009,UNITED KINGDOM,2
2010,AUSTRALIA,18
2010,NEW ZEALAND,3
2011,AUSTRALIA,20
2011,NEW ZEALAND,1
2011,UNITED KINGDOM,2
2012,AUSTRALIA,26
2012,CANADA,1
2012,NEW ZEALAND,2
2012,UNITED KINGDOM,1
2013,AUSTRALIA,20
2013,NEW ZEALAND,2
2014,AUSTRALIA,29
2014,JAPAN,3
2014,NEW ZEALAND,3
2015,AUSTRALIA,30
2016,AUSTRALIA,23
2016,JAPAN,1
2016,NEW ZEALAND,1
OUT OF SCOPE,AUSTRALIA,17
OUT OF SCOPE,NEW ZEALAND,1
OUT OF SCOPE,SINGAPORE,1
